"파일명","글자","모임꼴","받침여부","너비(mm)","높이(mm)","비례기준","비례값","균형점X(Gu)","균형점Y(Gu)","편차X(Gu)","편차Y(Gu)","균형축각도(°)","픽셀수","기준치수(mm)","낱글자W","낱글자H","낱글자비율","낱글자W비례%","낱글자H비례%","첫닿자W","첫닿자H","첫닿자비율","첫닿자W비례%","첫닿자H비례%","받침닿자W","받침닿자H","받침닿자비율","받침닿자W비례%","받침닿자H비례%","가로모임꼴W","가로모임꼴H","가로모임꼴비율","가로모임꼴W비례%","가로모임꼴H비례%","세로모임꼴W","세로모임꼴H","세로모임꼴비율","세로모임꼴W비례%","세로모임꼴H비례%","가로획W","가로획H","가로획비율","가로획W비례%","가로획H비례%","세로획W","세로획H","세로획비율","세로획W비례%","세로획H비례%","가로보W","가로보H","가로보비율","가로보W비례%","가로보H비례%","세로기둥W","세로기둥H","세로기둥비율","세로기둥W비례%","세로기둥H비례%","겹기둥W","겹기둥H","겹기둥비율","겹기둥W비례%","겹기둥H비례%","안기둥W","안기둥H","안기둥비율","안기둥W비례%","안기둥H비례%","밖기둥W","밖기둥H","밖기둥비율","밖기둥W비례%","밖기둥H비례%","이음보W","이음보H","이음보비율","이음보W비례%","이음보H비례%","상단간격W","상단간격H","상단간격비율","상단간격W비례%","상단간격H비례%","하단간격W","하단간격H","하단간격비율","하단간격W비례%","하단간격H비례%","수평간격W","수평간격H","수평간격비율","수평간격W비례%","수평간격H비례%","수직간격W","수직간격H","수직간격비율","수직간격W비례%","수직간격H비례%","좌측단차W","좌측단차H","좌측단차비율","좌측단차W비례%","좌측단차H비례%","우측단차W","우측단차H","우측단차비율","우측단차W비례%","우측단차H비례%","상단단차W","상단단차H","상단단차비율","상단단차W비례%","상단단차H비례%","하단단차W","하단단차H","하단단차비율","하단단차W비례%","하단단차H비례%","측정시각"
"1964_정당제도_막_036_250411 1.jpg","막","가로모임꼴","받침","17.82","19.74","높이기준","0.883","53.26","61.14","3.26","11.14","-4.11","45306","18.5","16.33","18.5","0.883","88.27","100","7.19","6.04","1.19","38.86","32.65","8.38","6.4","1.309","45.3","34.59","6.98","10.15","0.688","37.73","54.86","","","","","","3.9","1.04","3.75","21.08","5.62","","","","","","","","","","","2.88","10.19","0.283","15.57","55.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.19","18.35","0.228","22.65","99.19","16.5","3.15","5.238","89.19","17.03","3.87","9.06","0.427","20.92","48.97","","","","","","16.34","3.47","4.709","88.32","18.76","","","","","","2026-06-02T07:10:38.338Z"
"1964_정당제도_말_004_250403 2.jpg","말","가로모임꼴","받침","18.22","18.84","높이기준","0.865","52.03","50.56","2.03","0.56","7.76","106432","18.27","15.81","18.27","0.865","86.54","100","7.36","5.98","1.231","40.28","32.73","9.29","7.67","1.211","50.85","41.98","7","9.4","0.745","38.31","51.45","","","","","","3.72","1.19","3.126","20.36","6.51","","","","","","","","","","","3.27","9.33","0.35","17.9","51.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","18.3","0.202","20.25","100.16","15.84","1.65","9.6","86.7","9.03","","","","","","","","","","","15.83","3.32","4.768","86.64","18.17","4.61","9","0.512","25.23","49.26","2026-06-02T07:11:14.425Z"
"1964_정당제도_만_004_250403 2.jpg","만","가로모임꼴","받침","18.72","18.86","높이기준","0.895","49.74","49.34","-0.26","-0.66","-1.6","73710","18.48","16.54","18.48","0.895","89.5","100","7.6","6.27","1.212","41.13","33.93","10.17","4.83","2.106","55.03","26.14","7.29","14.54","0.501","39.45","78.68","","","","","","3.94","1.4","2.814","21.32","7.58","","","","","","","","","","","","","","","","","","","","","3.31","14.56","0.227","17.91","78.79","","","","","","","","","","","","","","","","","","","","","3.77","18.48","0.204","20.4","100","16.49","3.38","4.879","89.23","18.29","4.59","8.21","0.559","24.84","44.43","","","","","","16.57","3.87","4.282","89.66","20.94","","","","","","2026-06-02T07:11:43.600Z"
"1964_정당제도_맛_149_250501 1.jpg","맛","가로모임꼴","받침","19.12","19.04","높이기준","0.904","49.83","51.29","-0.17","1.29","3.2","107586","18.02","16.29","18.02","0.904","90.4","100","7.25","6.17","1.175","40.23","34.24","11.63","7.25","1.604","64.54","40.23","7.06","11.63","0.607","39.18","64.54","","","","","","4.06","1.08","3.759","22.53","5.99","","","","","","","","","","","3.01","11.61","0.259","16.7","64.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86","18.03","0.214","21.42","100.06","16.25","1.59","10.22","90.18","8.82","","","","","","","","","","","16.29","3.46","4.708","90.4","19.2","3.01","8.45","0.356","16.7","46.89","2026-06-02T07:12:12.842Z"
"1964_정당제도_맞_065_250411 1_.jpg","맞","가로모임꼴","받침","17.76","19.84","높이기준","0.853","51.52","52.28","1.52","2.28","-0.79","68056","18.81","16.04","18.81","0.853","85.27","100","7.15","6.01","1.19","38.01","31.95","11.25","7.4","1.52","59.81","39.34","6.65","9.52","0.699","35.35","50.61","","","","","","3.54","1.13","3.133","18.82","6.01","","","","","","","","","","","3.06","9.56","0.32","16.27","50.82","","","","","","","","","","","","","","","","","","","","","","","","","","3.8","18.83","0.202","20.2","100.11","","","","","","16.05","1.99","8.065","85.33","10.58","","","","","","","","","","","16.12","3.93","4.102","85.7","20.89","2.81","9.14","0.307","14.94","48.59","2026-06-02T07:12:41.945Z"
"1964_정당제도_맑_100_250417 1.jpg","맑","가로모임꼴","받침","17.86","18.76","높이기준","0.884","48.56","49.14","-1.44","-0.86","-10.42","122474","17.79","15.73","17.79","0.884","88.42","100","7.35","5.29","1.389","41.32","29.74","11.4","7.73","1.475","64.08","43.45","6.71","8.38","0.801","37.72","47.11","","","","","","3.63","1.33","2.729","20.4","7.48","","","","","","","","","","","3.22","8.39","0.384","18.1","47.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.88","17.75","0.219","21.81","99.78","15.76","1.71","9.216","88.59","9.61","","","","","","","","","","","15.65","3.14","4.984","87.97","17.65","1.73","9.06","0.191","9.72","50.93","2026-06-02T07:13:07.444Z"
"1964_정당제도_먼_131_2501002 1.jpg","먼","가로모임꼴","받침","16.58","18.66","높이기준","0.802","57.13","53.32","7.13","3.32","-0.17","66160","18.21","14.6","18.21","0.802","80.18","100","6.92","6.23","1.111","38","34.21","10.25","5","2.05","56.29","27.46","5.65","14.15","0.399","31.03","77.7","","","","","","4.48","0.95","4.716","24.6","5.22","","","","","","","","","","","3.13","14.08","0.222","17.19","77.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.86","18.22","0.267","26.69","100.05","14.63","3.24","4.515","80.34","17.79","","","","","","","","","","","14.65","3.91","3.747","80.45","21.47","4.78","8.16","0.586","26.25","44.81","2026-06-02T07:13:39.790Z"
"1964_정당제도_먹_020_250501 1.jpg","먹","가로모임꼴","받침","14.26","19.18","높이기준","0.723","66.82","59.06","16.82","9.06","10.54","77932","18.04","13.04","18.04","0.723","72.28","100","6.75","6.23","1.083","37.42","34.53","7.73","6.27","1.233","42.85","34.76","4.96","10","0.496","27.49","55.43","","","","","","3.79","0.77","4.922","21.01","4.27","","","","","","","","","","","3.19","10.02","0.318","17.68","55.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.43","18.03","0.246","24.56","99.94","13.05","2.4","5.438","72.34","13.3","","","","","","","","","","","13.11","3.34","3.925","72.67","18.51","4.56","8.72","0.523","25.28","48.34","2026-06-02T07:14:06.323Z"
"1964_정당제도_멈_137_250501 1.jpg","멈","가로모임꼴","받침","14.34","19.02","높이기준","0.707","62.5","49.79","12.5","-0.21","2.95","98724","17.98","12.71","17.98","0.707","70.69","100","6.9","6.38","1.082","38.38","35.48","7.19","5.67","1.268","39.99","31.54","4.98","10.79","0.462","27.7","60.01","","","","","","3.77","1.02","3.696","20.97","5.67","","","","","","","","","","","3.15","10.71","0.294","17.52","59.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.28","17.99","0.238","23.8","100.06","12.7","2.44","5.205","70.63","13.57","","","","","","","","","","","12.71","3.68","3.454","70.69","20.47","5.16","8.32","0.62","28.7","46.27","2026-06-02T07:14:35.201Z"
"1964_정당제도_멋_149_250413 1.jpg","멋","가로모임꼴","받침","15.3","19.38","높이기준","0.758","58.26","52.32","8.26","2.32","3.42","131547","18.25","13.83","18.25","0.758","75.78","100","7.27","6.4","1.136","39.84","35.07","10.6","7.13","1.487","58.08","39.07","5.4","12.29","0.439","29.59","67.34","","","","","","4.19","1.02","4.108","22.96","5.59","","","","","","","","","","","3.08","12.31","0.25","16.88","67.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63","18.22","0.254","25.37","99.84","13.84","1.92","7.208","75.84","10.52","","","","","","","","","","","13.18","3.52","3.744","72.22","19.29","3.14","8.5","0.369","17.21","46.58","2026-06-02T07:15:04.721Z"
"1964_정당제도_멀_046_250417 1.jpg","멀","가로모임꼴","받침","16","18.52","높이기준","0.769","57","51.52","7","1.52","3.97","89670","18.02","13.85","18.02","0.769","76.86","100","6.79","6.31","1.076","37.68","35.02","8.85","6.88","1.286","49.11","38.18","5.35","9.48","0.564","29.69","52.61","","","","","","4.21","1","4.21","23.36","5.55","","","","","","","","","","","3.04","9.29","0.327","16.87","51.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.65","18","0.258","25.8","99.89","13.85","2.02","6.856","76.86","11.21","","","","","","","","","","","12.87","3.29","3.912","71.42","18.26","5.36","9.08","0.59","29.74","50.39","2026-06-02T07:15:30.929Z"
"1964_정당제도_밀_031_250417 1.jpg","밀","가로모임꼴","받침","15.84","18.66","높이기준","0.739","58.23","52.09","8.23","2.09","1.06","97204","18.33","13.54","18.33","0.739","73.87","100","6.69","5.81","1.151","36.5","31.7","8.71","7.73","1.127","47.52","42.17","3.23","9.54","0.339","17.62","52.05","","","","","","","","","","","","","","","","","","","","","3.21","9.52","0.337","17.51","51.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.98","18.4","0.216","21.71","100.38","13.58","2.1","6.467","74.09","11.46","","","","","","","","","","","12.96","3.11","4.167","70.7","16.97","4.96","9.69","0.512","27.06","52.86","2026-06-02T07:16:26.353Z"
"1964_정당제도_밍_137_250501 1.jpg","밍","가로모임꼴","받침","13.92","18.68","높이기준","0.672","61.21","50.97","11.21","0.97","1.41","75283","18.38","12.35","18.38","0.672","67.19","100","7.02","6.17","1.138","38.19","33.57","7.19","6.52","1.103","39.12","35.47","2.85","10.69","0.267","15.51","58.16","","","","","","","","","","","","","","","","","","","","","2.92","10.75","0.272","15.89","58.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.25","18.33","0.232","23.12","99.73","12.33","2.61","4.724","67.08","14.2","","","","","","","","","","","12.45","3.58","3.478","67.74","19.48","4.89","8.7","0.562","26.61","47.33","2026-06-02T07:16:22.299Z"
"1964_정당제도_밋_302_250417 1.jpg","밋","가로모임꼴","받침","15.48","18.96","높이기준","0.748","57.19","52.9","7.19","2.9","5.82","96426","17.94","13.42","17.94","0.748","74.8","100","7","6.5","1.077","39.02","36.23","10.83","7.04","1.538","60.37","39.24","3.19","11.96","0.267","17.78","66.67","","","","","","","","","","","","","","","","","","","","","3.19","12.02","0.265","17.78","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23","18.01","0.235","23.58","100.39","13.43","1.89","7.106","74.86","10.54","","","","","","","","","","","12.36","3.28","3.768","68.9","18.28","3.04","9.12","0.333","16.95","50.84","2026-06-02T07:16:51.410Z"